iter	BalancedAccuracy	Logloss
126	0.6966547325	0.4524391999
127	0.6968643321	0.4522715707
128	0.69706843	0.4520686204
129	0.6970950663	0.4518726715
130	0.6974310366	0.4514804065
131	0.6975882364	0.4512938567
132	0.6977716361	0.4510495889
133	0.6981076064	0.4509162904
134	0.6982496098	0.4506558499
135	0.6988006816	0.450362473
136	0.6988944778	0.4502188932
137	0.6988839106	0.4500558039
138	0.69918355	0.4498523029
139	0.6992786553	0.4496421041
140	0.6995782947	0.4494457585
141	0.6995520948	0.4492727506
142	0.6998614288	0.4490333966
143	0.7002075301	0.4488049397
144	0.7003702316	0.4485184903
145	0.7005789586	0.4482887644
146	0.7011245286	0.4480152763
147	0.7011447904	0.447892287
148	0.7011295941	0.4477285138
149	0.7015340333	0.4474244802
150	0.7017381312	0.447214516
151	0.7020322689	0.4469919916
152	0.7021733996	0.4467966955
153	0.7024206391	0.4464699792
154	0.702709275	0.4462079449
155	0.70302874	0.4460396472
156	0.7030126709	0.4457083755
157	0.703311874	0.4455247606
158	0.703396412	0.4453301887
159	0.7037898477	0.4449831191
160	0.7041469526	0.4447776599
161	0.7042149852	0.4446187625
162	0.7042990869	0.4443810884
163	0.704331225	0.4441985987
164	0.7045256282	0.4439606459
165	0.7048248314	0.4436116299
166	0.7048298968	0.4434387767
167	0.704867973	0.4433231501
168	0.705329005	0.4429705783
169	0.7058221751	0.4427976657
170	0.7058796405	0.442684053
171	0.7061949126	0.4424832847
172	0.706338225	0.4421880832
173	0.7064797921	0.4420873686
174	0.7064696611	0.4419593999
175	0.7066268609	0.4416622757
176	0.7066534972	0.4413844909
177	0.7069311295	0.4412125095
178	0.7071931291	0.4409914962
179	0.7072142636	0.4408906417
180	0.7073093688	0.440765927
181	0.7074927685	0.4406101234
182	0.7074665686	0.4405310982
183	0.7076030701	0.4404053905
184	0.7077754663	0.4402699304
185	0.7078908333	0.4400011594
186	0.7081951019	0.4398349374
187	0.7084267088	0.4395418839
188	0.7087369155	0.4392908629
189	0.7090039805	0.4391614385
190	0.7091565511	0.4389901009
191	0.7092567218	0.4388848569
192	0.7092778563	0.4386660958
193	0.7092516564	0.4383815768
194	0.709739761	0.4381854786
195	0.709866568	0.4379578448
196	0.7100664731	0.4376541284
197	0.7103128399	0.4374581501
198	0.7105909086	0.4373434431
199	0.7108271445	0.4371622731
200	0.710789941	0.4369250912
201	0.7106961447	0.4367567915
202	0.7112725438	0.4364671362
203	0.7113828454	0.4362971951
204	0.7116613504	0.4361073409
205	0.7122124222	0.4357946694
206	0.7122496257	0.4354869084
207	0.7124757308	0.4353644298
208	0.7124495308	0.4353564892
209	0.7127220976	0.4351759435
210	0.7130415626	0.4349877375
211	0.7130098608	0.4348329993
212	0.7131729987	0.4346762084
213	0.7133205039	0.4344199938
214	0.713476831	0.4342619444
215	0.7137286996	0.4340404609
216	0.7137967323	0.4338847082
217	0.713896903	0.4337198205
218	0.7141322662	0.4335540119
219	0.714457233	0.4333626613
220	0.7148152105	0.4331187648
221	0.7148993122	0.4327801599
222	0.7150303119	0.4325886334
223	0.7152040171	0.4323893043
224	0.7151985153	0.4323176705
225	0.7156392854	0.432073501
226	0.7160483539	0.4319603834
227	0.7160956883	0.4318334086
228	0.7162588262	0.4315922783
229	0.7165943602	0.4313965204
230	0.7168567961	0.4310892855
231	0.7169257014	0.4310051053
232	0.7169772286	0.4308345794
233	0.7173816679	0.4305263363
234	0.7175071659	0.4303588827
235	0.7177691655	0.4301391614
236	0.7178900344	0.4298910298
237	0.7180637395	0.4296958423
238	0.7180481068	0.4294494133
239	0.7180324741	0.4293722904
240	0.7180012087	0.429141421
241	0.7184111498	0.4289094074
242	0.7186790875	0.4287511191
243	0.7190835268	0.4285307466
244	0.7192939991	0.4283888011
245	0.7193730353	0.4282070321
246	0.7194465697	0.4279907193
247	0.719499406	0.427871071
248	0.7196046421	0.4276259125
249	0.719877209	0.4274061266
250	0.7200035796	0.4271678542
251	0.7203593754	0.4269503179
252	0.7206750839	0.4266805967
253	0.7208010183	0.4265825936
254	0.7210216215	0.4263392967
255	0.7210321888	0.426174747
256	0.721111225	0.4260832399
257	0.7210068615	0.4260069049
258	0.7212684247	0.4258480927
259	0.7212215266	0.4257113424
260	0.7215262315	0.4253427305
261	0.7215317333	0.4252015242
262	0.7215579333	0.4250800044
263	0.7217629038	0.4249028667
264	0.7222028013	0.4246272604
265	0.7224022701	0.4245458764
266	0.7224758045	0.4242467357
267	0.7226017388	0.4241965293
268	0.722555277	0.4240067471
269	0.7234313156	0.4235935079
270	0.7234892173	0.4234155929
271	0.7240085873	0.4231912251
272	0.724082558	0.4230087708
273	0.7239726928	0.4228077929
274	0.7243031613	0.4225794101
275	0.7244290956	0.4224192083
276	0.7246552007	0.4222782586
277	0.7245867317	0.422087903
278	0.7249442729	0.4217934768
279	0.7255164792	0.4214870234
280	0.7255743809	0.4214168349
281	0.7255477446	0.4212376088
282	0.7258253769	0.4210551175
283	0.7258253769	0.4210527794
284	0.7262031799	0.420866156
285	0.726082311	0.4207459523
286	0.7261613472	0.4204135868
287	0.7262927833	0.4202110551
288	0.7263451832	0.4200897343
289	0.7266959136	0.4198257581
290	0.7270842839	0.4195701047
291	0.7271730146	0.4195243988
292	0.7272148473	0.4195037627
293	0.7275085486	0.4192455124
294	0.7274561487	0.4191982814
295	0.7276289812	0.4190261746
296	0.7278123809	0.418862969
297	0.7281690494	0.4185907742
298	0.7281897476	0.4182623573
299	0.7284209181	0.418146704
